tipo_frete;peso;valor_total_pedido;data;abreviatura_uf;regiao;grupo_gerencial_produto;conta_numero_pedido_vendedor
CIF;0;0;02/09/2021 00:00;BA;Nordeste;CARRO SATELITE;1
CIF;0;0;22/02/2022 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;31/03/2022 00:00;RJ;Sudeste;FLOW RACK;1
CIF;0;0;18/04/2022 00:00;MT;Centro-Oeste;FLOW RACK;1
CIF;0;0;23/05/2022 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;28/03/2022 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;31/03/2022 00:00;SC;Sul;DINAMICO;1
CIF;0;0;10/05/2022 00:00;SP;Sudeste;TRANSELEVADORES;1
CIF;0;0;15/09/2021 00:00;MT;Centro-Oeste;DRIVE IN;1
CIF;0;0;22/10/2021 00:00;SP;Sudeste;DINAMICO;1
CIF;0;0;22/08/2022 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;25/01/2022 00:00;RS;Sul;DRIVE IN;1
CIF;0;0;25/01/2022 00:00;RS;Sul;PUSH BACK;1
CIF;0;0;09/06/2022 00:00;RS;Sul;SERVICOS;1
CIF;0;0;08/07/2022 00:00;MT;Centro-Oeste;DRIVE IN;1
CIF;0;0;05/08/2022 00:00;EX;Exterior;SERVICOS;1
CIF;0;0;10/08/2022 00:00;SC;Sul;SERVICOS;1
CIF;0;0;31/08/2022 00:00;RJ;Sudeste;SERVICOS;1
CIF;0;0;02/09/2022 00:00;RS;Sul;SERVICOS;1
CIF;0;0;16/09/2022 00:00;BA;Nordeste;FLOW RACK;1
CIF;0;0;23/09/2022 00:00;MS;Centro-Oeste;MEZANINO;1
CIF;0;0;06/10/2022 00:00;MG;Sudeste;DRIVE IN;1
CIF;0;0;07/10/2022 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;26/10/2022 00:00;BA;Nordeste;DINAMICO;1
CIF;0;0;06/04/2022 00:00;AM;Norte;DRIVE IN;1
CIF;0;0;12/04/2022 00:00;AL;Nordeste;PASSARELA;1
CIF;0;0;18/04/2022 00:00;RS;Sul;SERVICOS;1
CIF;0;0;29/04/2022 00:00;MG;Sudeste;CARRO SATELITE;1
CIF;0;0;16/09/2022 00:00;BA;Nordeste;UNIVERSAL;1
CIF;0;0;27/10/2022 00:00;DF;Centro-Oeste;SERVICOS;1
CIF;0;0;11/11/2022 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;16/11/2022 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;26/05/2022 00:00;MG;Sudeste;DINAMICO;1
CIF;0;0;26/05/2022 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;01/11/2022 00:00;RS;Sul;SERVICOS;1
CIF;0;0;08/11/2022 00:00;SC;Sul;DRIVE IN;1
CIF;0;0;10/11/2022 00:00;RS;Sul;NÃO INFORMADO;1
CIF;0;0;07/12/2022 00:00;SP;Sudeste;TRANSELEVADORES;1
CIF;0;0;31/08/2022 00:00;PR;Sul;SERVICOS;1
CIF;0;0;02/09/2022 00:00;SC;Sul;DRIVE IN;1
CIF;0;0;02/09/2022 00:00;MT;Centro-Oeste;SERVICOS;1
CIF;0;0;22/09/2022 00:00;GO;Centro-Oeste;DRIVE IN;1
CIF;0;0;15/12/2022 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;16/01/2023 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;02/02/2023 00:00;RJ;Sudeste;SERVICOS;1
CIF;0;0;04/10/2022 00:00;PR;Sul;DINAMICO;1
CIF;0;0;13/02/2023 00:00;SC;Sul;BASES MOVEIS;1
CIF;0;0;22/02/2023 00:00;RS;Sul;SERVICOS;1
CIF;0;0;23/02/2023 00:00;SC;Sul;SERVICOS;1
CIF;0;0;10/03/2023 00:00;PR;Sul;SERVICOS;1
CIF;0;0;16/03/2023 00:00;MS;Centro-Oeste;DRIVE IN;1
CIF;0;0;06/04/2023 00:00;SP;Sudeste;TRANSELEVADORES;1
CIF;0;0;31/10/2022 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;03/11/2022 00:00;ES;Sudeste;AUTOMACAO;1
CIF;0;0;04/11/2022 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;16/11/2022 00:00;RS;Sul;SERVICOS;1
CIF;0;0;14/02/2023 00:00;SC;Sul;SERVICOS;1
CIF;0;0;16/03/2023 00:00;MT;Centro-Oeste;SERVICOS;1
CIF;0;0;11/05/2023 00:00;MG;Sudeste;AUTOMACAO;1
CIF;0;0;12/12/2022 00:00;RJ;Sudeste;SERVICOS;1
CIF;0;0;16/12/2022 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;03/02/2023 00:00;BA;Nordeste;SERVICOS;1
CIF;0;0;02/03/2023 00:00;PR;Sul;SERVICOS;1
CIF;0;0;13/04/2023 00:00;SP;Sudeste;DINAMICO;1
CIF;0;0;02/05/2023 00:00;EX;Exterior;MEZANINO;1
CIF;0;0;02/05/2023 00:00;EX;Exterior;PASSARELA;1
CIF;0;0;11/05/2023 00:00;MG;Sudeste;FLOW RACK;1
FOB;0;0;05/05/2021 00:00;ES;Sudeste;PORTA PALLET;1
FOB;0;0;14/09/2020 00:00;CE;Nordeste;PORTA PALLET;1
FOB;0;0;21/05/2021 00:00;AM;Norte;DRIVE IN;1
FOB;0;0;21/05/2021 00:00;AM;Norte;DRIVE THROUG;1
FOB;0;0;13/07/2021 00:00;ES;Sudeste;UNIVERSAL;1
FOB;0;0;14/05/2021 00:00;PA;Norte;PORTA PALLET;1
FOB;0;0;26/03/2021 00:00;ES;Sudeste;SERVICOS;1
FOB;0;0;21/05/2021 00:00;AM;Norte;PORTA PALLET;1
FCA;0;0;17/12/2021 00:00;MO;Exterior;PORTA PALLET;1
FOB;0;0;28/12/2021 00:00;AM;Norte;DRIVE IN;1
FOB;0;0;30/09/2021 00:00;AM;Norte;DRIVE IN;1
FOB;0;0;17/12/2021 00:00;AM;Norte;DRIVE IN;1
FOB;0;0;29/12/2021 00:00;AM;Norte;DRIVE IN;1
FOB;0;0;08/11/2022 00:00;AM;Norte;DINAMICO;1
FCA;0;0;30/11/2022 00:00;MO;Exterior;PORTA PALLET;1
FOB;0;0;01/02/2023 00:00;AM;Norte;PORTA PALLET;1
FCA;0;0;02/05/2023 00:00;EX;Exterior;DINAMICO;1
FCA;0;0;27/02/2023 00:00;MO;Exterior;DRIVE IN;1
FCA;0;0;02/05/2023 00:00;EX;Exterior;FLOW RACK;1
FCA;0;0;02/05/2023 00:00;EX;Exterior;PORTA PALLET;1
CIF;0;41926,08;08/01/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;84685,23;28/01/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;102435,8;29/01/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;56131,53;13/02/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;28684,69;21/02/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;160614,31;28/02/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;35089,97;14/01/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;109314,35;27/01/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;62439,31;30/01/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;60456,17;31/01/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;55973,19;07/02/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;437128,45;02/04/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;193828,12;19/02/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;80554,58;17/03/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;10088,68;06/04/2020 00:00;RS;Sul;BOBINAS;1
CIF;0;46020,49;22/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;98030,31;29/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;56725,31;07/04/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;29275,79;13/04/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;52395,53;01/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;48594,21;04/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;49631,61;08/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;134844,62;17/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;60910,08;02/07/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;49827,49;03/07/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;97706,71;31/07/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;11407,94;09/04/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;30139,73;06/05/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;3144,33;13/05/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;169156,89;14/05/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;29340,68;27/08/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;136539,59;28/05/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;320000;02/06/2020 00:00;MG;Sudeste;TRANS NAO MOTOR;1
CIF;0;30319,38;02/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;54075;30/06/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;91505,14;15/07/2020 00:00;RS;Sul;UNIVERSAL;1
FOB;0;3309,6;20/07/2020 00:00;SP;Sudeste;OUTROS;1
CIF;0;45167,85;30/07/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;159670,01;21/09/2020 00:00;PR;Sul;FLOW RACK;1
CIF;0;368365,84;14/07/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;5275,2;23/07/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;179941,36;14/08/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;103224,4;21/08/2020 00:00;RS;Sul;UNIVERSAL;1
CIF;0;4500;02/07/2021 00:00;RS;Sul;OUTROS;1
CIF;0;360;20/07/2021 00:00;PR;Sul;DINAMICO;1
CIF;0;586800;28/07/2021 00:00;RN;Nordeste;AUTOMACAO;1
CIF;0;162000;03/09/2021 00:00;PR;Sul;AUTOMACAO;1
FOB;0;1656,91;18/08/2021 00:00;RS;Sul;UNIVERSAL;1
CIF;0;2520;04/02/2022 00:00;SP;Sudeste;MEZANINO;1
CIF;0;36750;31/05/2022 00:00;MT;Centro-Oeste;FLOW RACK;1
CIF;0;99200;08/10/2021 00:00;PR;Sul;OUTROS;1
CIF;0;11590;28/12/2022 00:00;PI;Nordeste;FLOW RACK;1
FOB;0;11707,5;16/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;8265;21/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;7402,5;22/01/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;10305;30/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;19282,5;28/02/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;840;12/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;6802,5;16/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;7290;16/03/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;6322,5;19/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;11790;27/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;10635;06/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;7282,5;06/01/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;11407,5;13/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;9037,5;05/02/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;12532,5;10/02/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;9030;14/02/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;10155;08/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;6615;15/01/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;8850;22/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;8040;24/01/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;11310;05/02/2020 00:00;ES;Sudeste;OUTROS;1
CIF;0;4207,5;10/02/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;7417,5;14/02/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;5820;20/02/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;6960;06/03/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;10927,5;11/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;592,5;12/03/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;7725;24/03/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;11932,5;20/02/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;8055;05/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;7372,5;10/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;10020;23/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;97,5;25/03/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;7597,5;30/03/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;7402,5;03/04/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;16530;30/04/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;9472,5;06/05/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;4972,5;19/05/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;10980;22/05/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;8557,5;29/05/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;11077,5;01/06/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;5377,5;04/06/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;11302,5;10/06/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;8310;19/06/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;23115;29/06/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
FOB;0;5145;08/04/2020 00:00;ES;Sudeste;OUTROS;1
FOB;0;9157,5;15/04/2020 00:00;ES;Sudeste;NÃO INFORMADO;1
